Yr,Mes,Mujer,Hombre
1974,1,1,2
1974,2,1,2
1974,3,1,2
1974,4,1,2
1974,5,1,2
1974,6,1,2
1974,7,1,2
1974,8,2,4
1974,9,2,4
1974,10,2,4
1974,11,2,4
1974,12,2,4
1975,1,2,4
1975,2,2,4
1975,3,2,4
1975,4,2,4
1975,5,2,4
1975,6,2,4
1975,7,2,4
1975,8,3,3
1975,9,3,3
1975,10,3,3
1975,11,3,3
1975,12,3,3
1976,1,3,3
1976,2,3,3
1976,3,3,3
1976,4,3,3
1976,5,3,3
1976,6,3,3
1976,7,3,3
1976,8,4,2
1976,9,4,2
1976,10,4,2
1976,11,4,2
1976,12,4,2
1977,1,4,2
1977,2,4,2
1977,3,4,2
1977,4,4,2
1977,5,4,2
1977,6,4,2
1977,7,4,2
1977,8,8,1
1977,9,8,1
1977,10,8,1
1977,11,8,1
1977,12,8,1
1978,1,8,1
1978,2,8,1
1978,3,8,1
1978,4,8,1
1978,5,8,1
1978,6,8,1
1978,7,8,1
1978,8,6,9
1978,9,6,9
1978,10,6,9
1978,11,6,9
1978,12,6,9
1979,1,6,9
1979,2,6,9
1979,3,6,9
1979,4,6,9
1979,5,6,9
1979,6,6,9
1979,7,6,9
1979,8,7,8
1979,9,7,8
1979,10,7,8
1979,11,7,8
1979,12,7,8
1980,1,7,8
1980,2,7,8
1980,3,7,8
1980,4,7,8
1980,5,7,8
1980,6,7,8
1980,7,7,8
1980,8,8,7
1980,9,8,7
1980,10,8,7
1980,11,8,7
1980,12,8,7
1981,1,8,7
1981,2,8,7
1981,3,8,7
1981,4,8,7
1981,5,8,7
1981,6,8,7
1981,7,8,7
1981,8,9,6
1981,9,9,6
1981,10,9,6
1981,11,9,6
1981,12,9,6
1982,1,9,6
1982,2,9,6
1982,3,9,6
1982,4,9,6
1982,5,9,6
1982,6,9,6
1982,7,9,6
1982,8,1,2
1982,9,1,2
1982,10,1,2
1982,11,1,2
1982,12,1,2
1983,1,1,2
1983,2,1,2
1983,3,1,2
1983,4,1,2
1983,5,1,2
1983,6,1,2
1983,7,1,2
1983,8,2,4
1983,9,2,4
1983,10,2,4
1983,11,2,4
1983,12,2,4
1984,1,2,4
1984,2,2,4
1984,3,2,4
1984,4,2,4
1984,5,2,4
1984,6,2,4
1984,7,2,4
1984,8,3,3
1984,9,3,3
1984,10,3,3
1984,11,3,3
1984,12,3,3
1985,1,3,3
1985,2,3,3
1985,3,3,3
1985,4,3,3
1985,5,3,3
1985,6,3,3
1985,7,3,3
1985,8,4,2
1985,9,4,2
1985,10,4,2
1985,11,4,2
1985,12,4,2
1986,1,4,2
1986,2,4,2
1986,3,4,2
1986,4,4,2
1986,5,4,2
1986,6,4,2
1986,7,4,2
1986,8,8,1
1986,9,8,1
1986,10,8,1
1986,11,8,1
1986,12,8,1
1987,1,8,1
1987,2,8,1
1987,3,8,1
1987,4,8,1
1987,5,8,1
1987,6,8,1
1987,7,8,1
1987,8,6,9
1987,9,6,9
1987,10,6,9
1987,11,6,9
1987,12,6,9
1988,1,6,9
1988,2,6,9
1988,3,6,9
1988,4,6,9
1988,5,6,9
1988,6,6,9
1988,7,6,9
1988,8,7,8
1988,9,7,8
1988,10,7,8
1988,11,7,8
1988,12,7,8
1989,1,7,8
1989,2,7,8
1989,3,7,8
1989,4,7,8
1989,5,7,8
1989,6,7,8
1989,7,7,8
1989,8,8,7
1989,9,8,7
1989,10,8,7
1989,11,8,7
1989,12,8,7
1990,1,8,7
1990,2,8,7
1990,3,8,7
1990,4,8,7
1990,5,8,7
1990,6,8,7
1990,7,8,7
1990,8,9,6
1990,9,9,6
1990,10,9,6
1990,11,9,6
1990,12,9,6
1991,1,9,6
1991,2,9,6
1991,3,9,6
1991,4,9,6
1991,5,9,6
1991,6,9,6
1991,7,9,6
1991,8,1,2
1991,9,1,2
1991,10,1,2
1991,11,1,2
1991,12,1,2
1992,1,1,2
1992,2,1,2
1992,3,1,2
1992,4,1,2
1992,5,1,2
1992,6,1,2
1992,7,1,2
1992,8,2,4
1992,9,2,4
1992,10,2,4
1992,11,2,4
1992,12,2,4
1993,1,2,4
1993,2,2,4
1993,3,2,4
1993,4,2,4
1993,5,2,4
1993,6,2,4
1993,7,2,4
1993,8,3,3
1993,9,3,3
1993,10,3,3
1993,11,3,3
1993,12,3,3
1994,1,3,3
1994,2,3,3
1994,3,3,3
1994,4,3,3
1994,5,3,3
1994,6,3,3
1994,7,3,3
1994,8,4,2
1994,9,4,2
1994,10,4,2
1994,11,4,2
1994,12,4,2
1995,1,4,2
1995,2,4,2
1995,3,4,2
1995,4,4,2
1995,5,4,2
1995,6,4,2
1995,7,4,2
1995,8,8,1
1995,9,8,1
1995,10,8,1
1995,11,8,1
1995,12,8,1
1996,1,8,1
1996,2,8,1
1996,3,8,1
1996,4,8,1
1996,5,8,1
1996,6,8,1
1996,7,8,1
1996,8,6,9
1996,9,6,9
1996,10,6,9
1996,11,6,9
1996,12,6,9
1997,1,6,9
1997,2,6,9
1997,3,6,9
1997,4,6,9
1997,5,6,9
1997,6,6,9
1997,7,6,9
1997,8,7,8
1997,9,7,8
1997,10,7,8
1997,11,7,8
1997,12,7,8
1998,1,7,8
1998,2,7,8
1998,3,7,8
1998,4,7,8
1998,5,7,8
1998,6,7,8
1998,7,7,8
1998,8,8,7
1998,9,8,7
1998,10,8,7
1998,11,8,7
1998,12,8,7
1999,1,8,7
1999,2,8,7
1999,3,8,7
1999,4,8,7
1999,5,8,7
1999,6,8,7
1999,7,8,7
1999,8,9,6
1999,9,9,6
1999,10,9,6
1999,11,9,6
1999,12,9,6
2000,1,9,6
2000,2,9,6
2000,3,9,6
2000,4,9,6
2000,5,9,6
2000,6,9,6
2000,7,9,6
2000,8,1,2
2000,9,1,2
2000,10,1,2
2000,11,1,2
2000,12,1,2
2001,1,1,2
2001,2,1,2
2001,3,1,2
2001,4,1,2
2001,5,1,2
2001,6,1,2
2001,7,1,2
2001,8,2,4
2001,9,2,4
2001,10,2,4
2001,11,2,4
2001,12,2,4
2002,1,2,4
2002,2,2,4
2002,3,2,4
2002,4,2,4
2002,5,2,4
2002,6,2,4
2002,7,2,4
2002,8,3,3
2002,9,3,3
2002,10,3,3
2002,11,3,3
2002,12,3,3
2003,1,3,3
2003,2,3,3
2003,3,3,3
2003,4,3,3
2003,5,3,3
2003,6,3,3
2003,7,3,3
2003,8,4,2
2003,9,4,2
2003,10,4,2
2003,11,4,2
2003,12,4,2
2004,1,4,2
2004,2,4,2
2004,3,4,2
2004,4,4,2
2004,5,4,2
2004,6,4,2
2004,7,4,2
2004,8,8,1
2004,9,8,1
2004,10,8,1
2004,11,8,1
2004,12,8,1
2005,1,8,1
2005,2,8,1
2005,3,8,1
2005,4,8,1
2005,5,8,1
2005,6,8,1
2005,7,8,1
2005,8,6,9
2005,9,6,9
2005,10,6,9
2005,11,6,9
2005,12,6,9
2006,1,6,9
2006,2,6,9
2006,3,6,9
2006,4,6,9
2006,5,6,9
2006,6,6,9
2006,7,6,9
2006,8,7,8
2006,9,7,8
2006,10,7,8
2006,11,7,8
2006,12,7,8
2007,1,7,8
2007,2,7,8
2007,3,7,8
2007,4,7,8
2007,5,7,8
2007,6,7,8
2007,7,7,8
2007,8,8,7
2007,9,8,7
2007,10,8,7
2007,11,8,7
2007,12,8,7
2008,1,8,7
2008,2,8,7
2008,3,8,7
2008,4,8,7
2008,5,8,7
2008,6,8,7
2008,7,8,7
2008,8,9,6
2008,9,9,6
2008,10,9,6
2008,11,9,6
2008,12,9,6
2009,1,9,6
2009,2,9,6
2009,3,9,6
2009,4,9,6
2009,5,9,6
2009,6,9,6
2009,7,9,6
2009,8,1,2
2009,9,1,2
2009,10,1,2
2009,11,1,2
2009,12,1,2
2010,1,1,2
2010,2,1,2
2010,3,1,2
2010,4,1,2
2010,5,1,2
2010,6,1,2
2010,7,1,2
2010,8,2,4
2010,9,2,4
2010,10,2,4
2010,11,2,4
2010,12,2,4
2011,1,2,4
2011,2,2,4
2011,3,2,4
2011,4,2,4
2011,5,2,4
2011,6,2,4
2011,7,2,4
2011,8,3,3
2011,9,3,3
2011,10,3,3
2011,11,3,3
2011,12,3,3
2012,1,3,3
2012,2,3,3
2012,3,3,3
2012,4,3,3
2012,5,3,3
2012,6,3,3
2012,7,3,3
2012,8,4,2
2012,9,4,2
2012,10,4,2
2012,11,4,2
2012,12,4,2
2013,1,4,2
2013,2,4,2
2013,3,4,2
2013,4,4,2
2013,5,4,2
2013,6,4,2
2013,7,4,2
2013,8,8,1
2013,9,8,1
2013,10,8,1
2013,11,8,1
2013,12,8,1
2014,1,8,1
2014,2,8,1
2014,3,8,1
2014,4,8,1
2014,5,8,1
2014,6,8,1
2014,7,8,1
2014,8,6,9
2014,9,6,9
2014,10,6,9
2014,11,6,9
2014,12,6,9
2015,1,6,9
2015,2,6,9
2015,3,6,9
2015,4,6,9
2015,5,6,9
2015,6,6,9
2015,7,6,9
2015,8,7,8
2015,9,7,8
2015,10,7,8
2015,11,7,8
2015,12,7,8
2016,1,7,8
2016,2,7,8
2016,3,7,8
2016,4,7,8
2016,5,7,8
2016,6,7,8
2016,7,7,8
2016,8,8,7
2016,9,8,7
2016,10,8,7
2016,11,8,7
2016,12,8,7
2017,1,8,7
2017,2,8,7
2017,3,8,7
2017,4,8,7
2017,5,8,7
2017,6,8,7
2017,7,8,7
